Voltage DC (V),Mean Frequency (Hz), STDEV Frequency (Hz)
0.1999999999999993,32745.27446018532,0.005534974970717091
0.09999999999999964,32745.257054731854,0.003080452011818689
0.0,32745.21594400103,0.004438563928047047
-0.10000000000000053,32745.17707129863,0.0043125467442221175
-0.20000000000000018,32745.118499028744,0.004895346187619093
-0.3000000000000007,32745.079732993905,0.0041400228756840966
-0.40000000000000036,32745.021064561606,0.005146565415734556
-0.5,32744.981680184304,0.004274926384806718
-0.6000000000000005,32744.942503768045,0.004315734283553558
-0.7000000000000002,32744.88443901034,0.005080423760388928
-0.8000000000000007,32744.84497670189,0.004386732805062369
-0.9000000000000004,32744.79255476006,0.004681467065502673
-1.0,32744.747536222265,0.00409546856620943
-1.1000000000000005,32744.708340023844,0.003954901676714522
-1.2000000000000002,32744.649221249714,0.005359535808629044
-1.3000000000000007,32744.62972478204,0.002772373537884309
-1.4000000000000004,32744.57101073329,0.005175145100923173
-1.5,32744.512029434354,0.005552535393047459
-1.5999999999999996,32744.474480706784,0.003959270511528484
-1.700000000000001,32744.434033518148,0.004563533260372444
-1.8000000000000007,32744.37532958186,0.005433899023118019
-1.9000000000000004,32744.330371953758,0.004194509631398201
-2.0,32744.296869806672,0.0035904007573165212
-2.0999999999999996,32744.238302712565,0.005475794032376785
-2.200000000000001,32744.199714483042,0.0041897249693250765
-2.3000000000000007,32744.16080405818,0.0036789346366474284
-2.4000000000000004,32744.09739867707,0.0056345534957317304
-2.5,32744.04346931752,0.005155307078999844
-2.5999999999999996,32744.01559910063,0.003423001349851066
-2.700000000000001,32744.003936660018,0.0032000628768784154
-2.8000000000000007,32743.94238026026,0.006040828340783294
-2.9000000000000004,32743.887485714455,0.00525250973963889
-3.0,32743.84824918424,0.004243140908875209
-3.1000000000000014,32743.789373082232,0.005046946371090697
-3.200000000000001,32743.73057216678,0.0049189699603579785
-3.3000000000000007,32743.700173063837,0.00347649762458924
-3.4000000000000004,32743.65240257154,0.004371629237542885
-3.5,32743.613332031164,0.004068986784844142
-3.6000000000000014,32743.553810834175,0.005251051546649657
-3.700000000000001,32743.516203496893,0.003918009420204192
-3.8000000000000007,32743.45818787772,0.005250017338067954
-3.9000000000000004,32743.39952098443,0.0051794457755002105
-4.0,32743.38496404881,0.003384711856953091
-4.100000000000001,32743.340669478406,0.004126231962164005
-4.200000000000001,32743.30145537456,0.004070911154796257
-4.300000000000001,32743.239003963656,0.0054616471288898025
-4.4,32743.203842445902,0.0038668212788587754
-4.5,32743.145092747483,0.004729137812977862
-4.600000000000001,32743.086675717634,0.00520312673323827
-4.700000000000001,32743.066750047317,0.003305809916606853
-4.800000000000001,32743.00827879072,0.0053301577692922006
-4.9,32742.949283689482,0.005167404245783451
-5.0,33422.88891333088,11757.894670379337
-5.100000000000001,32742.85307662863,0.0072212250825908755
-5.200000000000001,32742.811572462742,0.0039353460507608245
-5.300000000000001,32742.773184954178,0.0038369690582373286
-5.4,32742.773529389997,0.003011593762066082
-5.5,32742.773581954352,0.002787322165824238
-5.600000000000001,32742.77350336837,0.0029327100630299734
-5.700000000000001,4.9499999999999995e+35,6.982834309934613e+36
-5.800000000000001,32742.77373105746,0.0029640371808931794
-5.9,32742.77371154122,0.0028099648409069806
-6.0,459898.55565464357,6025773.83528706
-6.100000000000001,32742.77392621955,0.003068012918986326
-6.200000000000001,32742.77346468051,0.002768374080872636
-6.300000000000001,32742.773522884567,0.0028686094787634337
-6.4,317513.2949223726,4924142.632746775
-6.5,32742.773399807476,0.0031809872975941417
